0x803d64,Name,Description,ID,Support Class,Portrait,Map Portrait,Affinity,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A,N/A,N/A,N/A,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A,N/A,N/A
0x01 Eirika,LoordiName|IsPointer,LoordiDesc|IsPointer,Loordi,0x2,0x1,0x0,LightAffinity,0x1,20,0,0,0,0,0,0,0,0,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aebac,0x7,0x0,0x0,0x0
0x02 Seth,RedMyrmName|IsPointer,RedMyrmDesc|IsPointer,RedMyrm,0x7,0x2,0x0,AnimaAffinity,0x3,20,0,0,0,0,0,0,0,0,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebdc,0x3,0x0,0x0,0x0
0x03 Gilliam,GreenMyrmName|IsPointer,GreenMyrmDesc|IsPointer,GreenMyrm,0x9,0x3,0x0,ThunderAffinity,0x7,20,0,0,0,0,0,0,0,0,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec0c,0x4,0x0,0x0,0x0
0x04 Franz,GorillaName|IsPointer,GorillaDesc|IsPointer,Gorilla,0x5,0x4,0x0,LightAffinity,0x6,20,0,0,0,0,0,0,0,0,NoRank,NoRank,BRank,DRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebf4,0x3,0x0,0x0,0x0
0x05 Moulder,PegaName|IsPointer,PegaDesc|IsPointer,Pega,0x45,0x5,0x0,AnimaAffinity,0x8,20,0,0,0,0,0,0,0,0,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec24,0x4,0x0,0x0,0x0
0x06 Vanessa,CavName|IsPointer,CavDesc|IsPointer,Cav,0x48,0x6,0x0,AnimaAffinity,0x9,20,0,0,0,0,0,0,0,0,DRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,TriangleAttack|IsFemale,0x88aec3c,0xa,0x0,0x0,0x0
0x07 Ross,SnoiperName|IsPointer,SnoiperDesc|IsPointer,Snoiper,0x3d,0x7,0x0,FireAffinity,0xa,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,BRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec6c,0x5,0x0,0x0,0x0
0x08 Neimi,JagenName|IsPointer,JagenDesc|IsPointer,Jagen,0x1a,0x8,0x0,FireAffinity,0xb,20,15,0,0,0,0,0,0,0,NoRank,BRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aec9c,0x7,0x0,0x0,0x0
0x09 Colm,ArmorName|IsPointer,ArmorDesc|IsPointer,Armor,0xd,0x9,0x0,LightAffinity,0xc,20,0,0,0,0,0,0,0,0,NoRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec84,0x0,0x0,0x0,0x0
0x0A Garcia,MaagiName|IsPointer,MaagiDesc|IsPointer,Maagi,0x3f,0xA,0x0,FireAffinity,0xd,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,BRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec54,0x1,0x0,0x0,0x0
